graph,n,m,s,p1n,p1m,p1s,p2n,p2m,p2s,p3n,p3m,p3s,p4n,p4m,p4s,p5n,p5m,p5s,p6n,p6m,p6s,p7n,p7m,p7s,p8n,p8m,p8s,p9n,p9m,p9s,p10n,p10m,p10s,p11n,p11m,p11s,p12n,p12m,p12s,p13n,p13m,p13s,p14n,p14m,p14s,p15n,p15m,p15s,p16n,p16m,p16s,p17n,p17m,p17s,p18n,p18m,p18s,p19n,p19m,p19s,p20n,p20m,p20s,ph1n,ph1m,ph1s,ph2n,ph2m,ph2s,ph3n,ph3m,ph3s,ph4n,ph4m,ph4s,ph5n,ph5m,ph5s,ph6n,ph6m,ph6s,ph7n,ph7m,ph7s,ph8n,ph8m,ph8s,ph9n,ph9m,ph9s,ph10n,ph10m,ph10s,ph11n,ph11m,ph11s,ph12n,ph12m,ph12s,ph13n,ph13m,ph13s,ph14n,ph14m,ph14s,ph15n,ph15m,ph15s,ph16n,ph16m,ph16s,ph17n,ph17m,ph17s,ph18n,ph18m,ph18s,ph19n,ph19m,ph19s,ph20n,ph20m,ph20s,ph21n,ph21m,ph21s,ph22n,ph22m,ph22s,ph23n,ph23m,ph23s,ph24n,ph24m,ph24s,ph25n,ph25m,ph25s,ph26n,ph26m,ph26s,ph27n,ph27m,ph27s,ph28n,ph28m,ph28s,ph29n,ph29m,ph29s,ph30n,ph30m,ph30s,ph31n,ph31m,ph31s,ph32n,ph32m,ph32s,ph33n,ph33m,ph33s,ph34n,ph34m,ph34s,ph35n,ph35m,ph35s,ph36n,ph36m,ph36s,ph37n,ph37m,ph37s,ph38n,ph38m,ph38s,ph39n,ph39m,ph39s,ph40n,ph40m,ph40s,a1n,a1m,a1s,a2n,a2m,a2s,a3n,a3m,a3s,a4n,a4m,a4s,ahF1n,ahF1m,ahF1s,ahF2n,ahF2m,ahF2s,ahF3n,ahF3m,ahF3s,ahF4n,ahF4m,ahF4s,ahF5n,ahF5m,ahF5s,ahF6n,ahF6m,ahF6s,ahF7n,ahF7m,ahF7s,ahF8n,ahF8m,ahF8s,ahF9n,ahF9m,ahF9s,ahF10n,ahF10m,ahF10s,ahF11n,ahF11m,ahF11s,ahF12n,ahF12m,ahF12s,ahF13n,ahF13m,ahF13s,ahF14n,ahF14m,ahF14s,ahF15n,ahF15m,ahF15s,ahF16n,ahF16m,ahF16s,ahF17n,ahF17m,ahF17s,ahF18n,ahF18m,ahF18s,ahF19n,ahF19m,ahF19s,ahF20n,ahF20m,ahF20s,ahFlower1n,ahFlower1m,ahFlower1s,ahFlower2n,ahFlower2m,ahFlower2s,ahFlower3n,ahFlower3m,ahFlower3s,ahFlower4n,ahFlower4m,ahFlower4s,ahFlower5n,ahFlower5m,ahFlower5s,ahFlower6n,ahFlower6m,ahFlower6s,ahFlower7n,ahFlower7m,ahFlower7s,ahFlower8n,ahFlower8m,ahFlower8s,ahFlower9n,ahFlower9m,ahFlower9s,ahFlower10n,ahFlower10m,ahFlower10s,ahFlower11n,ahFlower11m,ahFlower11s,ahFlower12n,ahFlower12m,ahFlower12s,ahFlower13n,ahFlower13m,ahFlower13s,ahFlower14n,ahFlower14m,ahFlower14s,ahFlower15n,ahFlower15m,ahFlower15s,ahFlower16n,ahFlower16m,ahFlower16s,ahFlower17n,ahFlower17m,ahFlower17s,ahFlower18n,ahFlower18m,ahFlower18s,ahFlower19n,ahFlower19m,ahFlower19s,ahFlower20n,ahFlower20m,ahFlower20s,ahEdge1n,ahEdge1m,ahEdge1s,ahEdge2n,ahEdge2m,ahEdge2s,ahEdge3n,ahEdge3m,ahEdge3s,ahEdge4n,ahEdge4m,ahEdge4s,ahEdge5n,ahEdge5m,ahEdge5s,ahEdge6n,ahEdge6m,ahEdge6s,ahEdge7n,ahEdge7m,ahEdge7s,ahEdge8n,ahEdge8m,ahEdge8s,ahEdge9n,ahEdge9m,ahEdge9s,ahEdge10n,ahEdge10m,ahEdge10s,ahEdge11n,ahEdge11m,ahEdge11s,ahEdge12n,ahEdge12m,ahEdge12s,ahEdge13n,ahEdge13m,ahEdge13s,ahEdge14n,ahEdge14m,ahEdge14s,ahEdge15n,ahEdge15m,ahEdge15s,ahEdge16n,ahEdge16m,ahEdge16s,ahEdge17n,ahEdge17m,ahEdge17s,ahEdge18n,ahEdge18m,ahEdge18s,ahEdge19n,ahEdge19m,ahEdge19s,ahEdge20n,ahEdge20m,ahEdge20s,ahDiameter1n,ahDiameter1m,ahDiameter1s,ahDiameter2n,ahDiameter2m,ahDiameter2s,ahDiameter3n,ahDiameter3m,ahDiameter3s,ahDiameter4n,ahDiameter4m,ahDiameter4s,ahDiameter5n,ahDiameter5m,ahDiameter5s,ahDiameter6n,ahDiameter6m,ahDiameter6s,ahDiameter7n,ahDiameter7m,ahDiameter7s,ahDiameter8n,ahDiameter8m,ahDiameter8s,ahDiameter9n,ahDiameter9m,ahDiameter9s,ahDiameter10n,ahDiameter10m,ahDiameter10s,ahDiameter11n,ahDiameter11m,ahDiameter11s,ahDiameter12n,ahDiameter12m,ahDiameter12s,ahDiameter13n,ahDiameter13m,ahDiameter13s,ahDiameter14n,ahDiameter14m,ahDiameter14s,ahDiameter15n,ahDiameter15m,ahDiameter15s,ahDiameter16n,ahDiameter16m,ahDiameter16s,ahDiameter17n,ahDiameter17m,ahDiameter17s,ahDiameter18n,ahDiameter18m,ahDiameter18s,ahDiameter19n,ahDiameter19m,ahDiameter19s,ahDiameter20n,ahDiameter20m,ahDiameter20s,t1n,t1m,t1s,t2n,t2m,t2s,t3n,t3m,t3s,t4n,t4m,t4s,t5n,t5m,t5s,t6n,t6m,t6s,t7n,t7m,t7s,t8n,t8m,t8s,t9n,t9m,t9s,t10n,t10m,t10s,alln,allm,alls,kerneln,kernelm,kernels,combin,combim,combis
39,12882,22367,0,6490,15975,0,6490,15975,0,387,1105,1405,387,1105,1405,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,52,102,1478,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,6490,15975,0,,,,,,,,,,6490,15975,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6490,15975,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6490,15975,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6490,15975,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1504,3294,14160,1,0,0,1504
40,1036,3231,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,,,,,,,,,,,,,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,270,2465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,2465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,2465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,2465,0,270,2465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,2465,0,270,2465,0,270,2465,0,270,2465,0,,,,,,,,,,,,,,,,,,,270,2465,0,270,2465,0,270,2465,0
41,146,361,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,,,,,,,,,,,,,,,,,,,,,,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,280,0,65,280,0,65,280,0,65,280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,65,280,0,,,,,,,,,,65,280,0,65,280,0,65,280,0
42,1351,3241,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,,,,,,,1350,3240,0,1350,3240,0,1350,3240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,,,,,,,,,,,,,,,,,,,,,,,,,1350,3240,0,1350,3240,0,1350,3240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,1350,3240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,3240,0,270,1618,0,270,1618,0
43,6324,20717,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,5161,19554,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161,19554,0,,,,,,,,,,5161,19554,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161,19554,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161,19554,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161,19554,0,5161,19554,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161,19554,0,2862,11993,11,2719,11035,14
44,14229,28510,0,8823,23104,0,8823,23104,0,8823,23104,0,8823,23104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823,23104,0,8823,23104,0,8823,23104,0,8823,23104,0,8823,23104,0,8823,23104,0,8823,23104,0,8823,23104,0,8823,23104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823,23104,0,,,,,,,,,,8823,23104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823,23104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823,23104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823,23104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823,23104,0,3620,16562,4,3620,16562,4
45,3377,10461,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,3164,10248,0,1314,4352,283,,,,,,,3164,10248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164,10248,0,3164,10248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164,10248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164,10248,0,3164,10248,0,3164,10248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,2685,326,192,1536,269,93,470,341
46,16816,29312,0,8438,20935,0,8438,20935,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,8438,20935,0,,,,,,,,,,8438,20935,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8438,20935,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8438,20935,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8438,20935,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2149,5285,1927,4249,19362,2,1077,4718,1952
47,2431,4501,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,,,,,,,,,,,,,,,,,,,,,,,,,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2400,0,330,2400,0,330,2400,0,330,2400,0,330,2400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,2400,0,330,2400,0,330,2400,0
48,2029,3719,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,2002,0,312,2002,0,312,2002,0,312,2002,0,312,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,2002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,2002,0,312,2002,0,312,2002,0
49,5848,11310,0,3788,9250,0,3788,9250,0,3788,9250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788,9250,0,3788,9250,0,3788,9250,0,3788,9250,0,3788,9250,0,3788,9250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788,9250,0,,,,,,,,,,3788,9250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788,9250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788,9250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788,9250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788,9250,0,848,3848,361,848,3848,361
50,5534,8472,0,859,3192,3,766,2903,21,756,2850,23,756,2850,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,3192,3,783,2921,21,758,2866,22,758,2866,22,758,2866,22,758,2866,22,758,2866,22,758,2866,22,758,2866,22,758,2866,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,3192,3,,,,,,,,,,859,3192,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,3192,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,3192,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,3192,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,2850,23,502,2401,39,498,2371,40
51,433,1314,0,249,1081,13,235,1034,19,235,1034,19,218,949,24,218,949,24,218,949,24,218,949,24,218,949,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,1081,13,235,1034,19,235,1034,19,218,949,24,218,949,24,218,949,24,218,949,24,218,949,24,218,949,24,218,949,24,218,949,24,218,949,24,218,949,24,218,949,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,1095,11,230,1022,20,,,,,,,258,1095,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,1095,11,258,1095,11,258,1095,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,1095,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,1095,11,258,1095,11,258,1095,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,1095,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,937,25,159,831,32,158,821,33
52,4749,7085,0,751,2904,12,720,2803,16,714,2779,17,714,2779,17,714,2779,17,714,2779,17,714,2779,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,2904,12,720,2803,16,714,2779,17,714,2779,17,714,2779,17,714,2779,17,714,2779,17,714,2779,17,714,2779,17,714,2779,17,714,2779,17,714,2779,17,714,2779,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,2904,12,,,,,,,,,,751,2904,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,2904,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,2904,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,2904,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,2779,17,448,2185,42,448,2185,42
53,445,1381,0,263,1146,14,249,1099,20,249,1099,20,234,1014,25,234,1014,25,234,1014,25,234,1014,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,1146,14,249,1099,20,249,1099,20,234,1014,25,234,1014,25,234,1014,25,234,1014,25,234,1014,25,234,1014,25,234,1014,25,234,1014,25,234,1014,25,234,1014,25,234,1014,25,234,1014,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,1160,12,244,1087,21,,,,,,,272,1160,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,1160,12,272,1160,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,1160,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,1160,12,263,1146,14,272,1160,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,1160,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,1002,26,168,885,33,166,876,34
54,454,1417,0,271,1183,14,256,1135,20,249,1102,23,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,1183,14,256,1135,20,249,1102,23,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,233,1014,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,1197,12,251,1123,21,,,,,,,280,1197,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,1197,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,1197,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,1197,12,280,1197,12,280,1197,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,1197,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,1002,29,174,957,33,173,946,34
